Cliente,Latitude,Longitude,Peso_Carga_KG,Janela_Horario,Hub_Regional
Cliente_Be_000,-19.765565791876583,-44.11549800065106,798,08:00-18:00,Belo Horizonte
Cliente_Be_001,-19.980350052336643,-44.03744782155022,1349,08:00-18:00,Belo Horizonte
Cliente_Be_002,-19.86048396638869,-44.19792010526827,379,08:00-18:00,Belo Horizonte
Cliente_Be_003,-19.873683873011405,-43.94886828224556,567,08:00-18:00,Belo Horizonte
Cliente_Be_004,-19.711598767271113,-44.00059444129209,106,08:00-18:00,Belo Horizonte
Cliente_Be_005,-19.94522458539777,-44.12759593497457,166,08:00-18:00,Belo Horizonte
Cliente_Be_006,-19.855019635483593,-43.71733488385386,892,08:00-18:00,Belo Horizonte
Cliente_Be_007,-20.026893287213785,-43.954576980200386,1498,08:00-18:00,Belo Horizonte
Cliente_Be_008,-20.175152142522762,-43.93826034472949,597,08:00-18:00,Belo Horizonte
Cliente_Be_009,-19.821266875237747,-44.01835516446242,1166,08:00-18:00,Belo Horizonte
Cliente_Be_010,-19.851416588986886,-43.69993939265532,1179,08:00-18:00,Belo Horizonte
Cliente_Be_011,-19.998433279867047,-44.08767813429764,815,08:00-18:00,Belo Horizonte
Cliente_Be_012,-19.976638517524986,-43.83236047855083,1056,08:00-18:00,Belo Horizonte
Cliente_Be_013,-19.819206878816395,-44.079717467890426,1481,08:00-18:00,Belo Horizonte
Cliente_Be_014,-19.688116799405336,-44.02057662723611,141,08:00-18:00,Belo Horizonte
Cliente_Be_015,-20.07643145779246,-43.6148528996194,845,08:00-18:00,Belo Horizonte
Cliente_Be_016,-19.900867169978355,-44.01210713705958,1360,08:00-18:00,Belo Horizonte
Cliente_Be_017,-19.67992758350506,-44.14639029571771,525,08:00-18:00,Belo Horizonte
Cliente_Be_018,-19.85054142835828,-43.97262712436249,300,08:00-18:00,Belo Horizonte
Cliente_Be_019,-20.15139771217539,-44.00509085339665,1222,08:00-18:00,Belo Horizonte
Cliente_Be_020,-19.842283740037864,-43.835907680610276,1333,08:00-18:00,Belo Horizonte
Cliente_Be_021,-19.934622784738522,-43.73754460599757,1408,08:00-18:00,Belo Horizonte
Cliente_Be_022,-19.922601053994644,-43.93983968296663,933,08:00-18:00,Belo Horizonte
Cliente_Be_023,-20.084036591093774,-44.193581234757495,331,08:00-18:00,Belo Horizonte
Cliente_Be_024,-19.677836412850176,-43.826089117755025,1421,08:00-18:00,Belo Horizonte
Cliente_Be_025,-19.838971467242942,-43.80926667901024,405,08:00-18:00,Belo Horizonte
Cliente_Be_026,-19.645255703823413,-43.81274763216862,1241,08:00-18:00,Belo Horizonte
Cliente_Be_027,-19.706065353242064,-43.84982106164353,757,08:00-18:00,Belo Horizonte
Cliente_Be_028,-19.803341739835297,-44.03857889395163,681,08:00-18:00,Belo Horizonte
Cliente_Be_029,-19.988301031603363,-44.11326128619196,135,08:00-18:00,Belo Horizonte
